	iTRAQ8.113	iTRAQ8.114	iTRAQ8.115	iTRAQ8.116	iTRAQ8.117	iTRAQ8.118	iTRAQ8.119	iTRAQ8.121
O00468	-3.41394771369119	-1.77484072766794	-3.19762381680012	-3.38315508667491	-3.9385507432512	-5.18125351161811	-1.93006225871853	-4.21326118980557
O00515	-3.23459952215775	-3.11938452924427	-2.08382993530541	-2.07717171400894	-3.36739397970388	-5.74991738716237	-5.50657889651879	-2.57050903708184
O00764	-3.74696305383198	-2.98634238427295	-2.90561095008391	-3.38421361324161	-3.67229011543674	-2.86818302641205	-2.04983103998064	-3.14314882200547
O14618	-3.39608217292172	-2.93651193390659	-3.02957309955502	-3.10331215111013	-3.97705209715941	-3.83880507247203	-2.51175749796161	-2.1403246746992
O14964	-2.15804896157072	-3.73414448463303	-2.84643735830608	-3.06791615638005	-3.35505049810426	-3.64181681190264	-3.27840856889403	-2.62952597429511
O14983, P16615, Q93084	-3.42977680168005	-3.42622499179654	-2.65673307595226	-3.15142922503891	-3.50434395129722	-2.78960354202738	-2.78279408183999	-2.59949960950451
O43707, P12814, P35609, Q08043	-4.06879864031847	-2.91240232504189	-2.89406563775654	-3.87483997728412	-3.25638508011273	-2.85390851536192	-2.501685729908	-2.43161100351199
O60361, P15531, P22392	-3.82069849826573	-2.9263494790657	-2.63670847705323	-3.65754586519926	-3.38301742372169	-2.84406163018633	-2.88718641470473	-2.41616351721699
O75165	-3.90187936532032	-3.18667878598374	-2.37763375024033	-2.97579678003657	-3.06695952891254	-2.94577879773013	-3.06487417442398	-2.88777494015815
O75369	-3.10613747314312	-2.62926619813075	-3.07499300628289	-2.50412544153143	-3.14803588456201	-4.49163692149191	-2.71552838035901	-3.0856739178568
O75828	-3.26869217671125	-2.814122294214	-2.9369748478806	-3.36524324594373	-3.19659214255265	-3.34982399064499	-3.11910594547146	-2.29213925332277
O75828, P16152	-3.25273154859877	-3.0677587463978	-2.925202743005	-3.08222299172827	-3.83615770691744	-2.25813242520631	-3.24873986064554	-2.81774352416759
O76071	-3.7563780673222	-2.72015607764883	-2.20493516599846	-3.87420156122061	-2.6135321734167	-3.52955668036891	-3.09488421266872	-3.03365709092484
O94992	-2.33124586424732	-3.48235532235495	-3.11426867298119	-3.3057494487983	-2.92473492427585	-3.90740422336984	-3.52323911018971	-2.25229973914075
O95399, P11021	-3.59890800222536	-3.59180824959492	-2.67248468865032	-3.13159377381715	-3.14974351575484	-2.60040155698448	-2.8890022207294	-2.72733581992104
O95573	-4.34869704006665	-3.73940481889927	-2.38111212204012	-3.51877416496897	-3.09451224848811	-2.74967835544596	-3.82080453731826	-1.94166668704287
O95861	-3.53840707437493	-3.21975283967848	-2.14545381548236	-2.59397768594846	-3.71272642308187	-3.2025432102315	-3.29363664786687	-2.96506147046055
P00167	-1.50843479462014	-2.73790793479426	-4.11834552664371	-4.8496201628442	-3.13000144979009	-3.85417436655101	-4.44310780403744	-2.49820826032723
P00505	-3.60919748697404	-3.55633281108885	-1.59793644636852	-3.1443828676325	-3.68346672196501	-5.19233808893299	-3.77379769692118	-2.24254057790741
P01009	-2.69948366059625	-3.16745600520068	-2.74390614332456	-3.68303816827444	-2.94806781070907	-3.95104858058376	-2.77898732630037	-2.57620652973737
P01591	-3.64090300505845	-3.33434608639991	-3.69995089629296	-2.10520544528121	-3.28338108482709	-2.21027144402814	-4.04469329162724	-2.9221464868051
P02042, P68871	-2.37725045949143	-3.92505949264605	-5.22779201239033	-0.930899250933759	-4.0065595973835	-4.29032186608174	-4.39895807494749	-5.0709412807603
P02533, P08779	-4.8220985105652	-3.41925088689692	-3.6737553170529	-2.1471065936693	-3.70772780351102	-2.26459152003901	-3.77707341949191	-2.25525020120025
P02545	-3.28653108954023	-2.74068659718516	-2.63906063722078	-3.93945561550661	-3.18136440075239	-4.30970985458444	-2.67002245654403	-2.2904762721308
P02768	-2.58642876324508	-2.60591593720129	-3.16035926238418	-3.22177690595789	-3.44814944432478	-3.56230168317218	-2.58734580650758	-3.21714488276305
P04040	-2.67362474702167	-2.90505804501845	-3.1541600454894	-2.35959915771122	-3.90855854585096	-3.4229490980626	-2.83762041102008	-3.28111648095803
P04196	-3.86827887091616	-2.52480083929466	-2.34669027928898	-3.68131865236468	-4.08374879738783	-3.49907892427708	-2.39551091320912	-2.77852770162065
P04908, P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1	-3.3980763781775	-3.06476304216417	-3.04857328682043	-3.5809054018821	-2.65844158642544	-2.91939381337165	-3.23292747995088	-2.44016687124889
P05141, P12235, P12236	-4.1936921092119	-3.17284247753182	-2.88372382261445	-3.82548790212735	-3.25953029156185	-2.00681090565423	-2.87961259450358	-2.8435612383597
P05141, P12235, P12236, Q9H0C2	-3.92775929539931	-2.76672018770091	-2.6690119297848	-3.45127652709747	-3.15286127341141	-2.67292874759094	-2.7771723857109	-3.01653539883836
P05164	-3.0874415968419	-4.72688715061288	-4.84120814473628	-3.46357209155555	-3.63715224884676	-0.843681328736959	-4.33794536413975	-4.96518443785146
P05165	-2.64967987889653	-2.54839311946374	-2.42424426336277	-3.06887004192899	-3.29614658905094	-3.93034577673258	-3.25343735717759	-3.44281279846205
P05413	-2.91118711361397	-4.63275874253382	-3.60224172672539	-3.20436820717402	-4.59117190922944	-4.47200344291998	-1.01547921218261	-4.19201545057774
P05455	-3.89624959710261	-3.16194943767666	-2.71873064742604	-3.39311532611619	-2.97999978159909	-2.92931748803547	-2.90818070163626	-2.45179180730043
P06454	-2.44754837898708	-3.19789765218351	-3.5981915126461	-2.99916543717833	-2.58656954330422	-4.14791047098569	-3.39027461965909	-2.45964303013328
P06733	-3.83191125686209	-3.91038457359242	-1.83656947787864	-4.05349501885019	-3.12122302944428	-3.63038339304038	-2.45014179199245	-2.79195206925584
P06744	-3.36022495561559	-3.53015978841644	-1.83495900989067	-3.49701879972561	-3.52872484383291	-3.6680450684945	-3.2459987663639	-2.50250959614089
P07305	-5.21395436696224	-3.53437369132096	-3.27344851186655	-4.56025304745167	-4.37787095857572	-3.70661704871843	-3.8917973566415	-0.865422871215916
P07384	-3.42442999465945	-3.05946166197769	-2.38919263564254	-2.99395615736049	-3.42777561363633	-4.36579171337019	-4.08196079226524	-1.88888971020203
P07947	-4.26820580899521	-3.06348843586202	-2.38939187484304	-4.58092983925006	-3.21658374548283	-2.42063916370186	-2.14207612098108	-3.73818890578755
P08559	-2.48588082689393	-2.85038196416427	-3.08055229323633	-3.91481559419658	-2.51125323473805	-3.43211164244671	-2.88960032120206	-3.39106533046492
P08729	-3.27646604192216	-3.65751561263709	-2.24052473786746	-2.98654031884898	-3.0413752359778	-3.09170306235134	-2.94953112879335	-3.16419223541809
P08865	-3.51963058170311	-2.90480642672452	-2.5250783927938	-3.11947815350082	-2.89686217677951	-7.19825845965064	-2.93485953449665	-2.19338013993765
P09622	-3.96133483812247	-2.55502501640579	-2.6710538829522	-3.37638654882648	-3.36042147044835	-2.97817907964918	-3.25447038248193	-2.44792206153633
P09661	-3.37347141678623	-3.44799589227259	-2.94320202275345	-3.19570027608693	-2.71147728803689	-3.05464553762425	-3.21462654214852	-2.38108108297293
P09936	-3.6518377725876	-3.52840272221107	-3.84161561985112	-4.23446686336937	-3.38219835811555	-2.93843948350423	-1.42834908634508	-3.14579198839041
P0C0L4, P0C0L5	-3.98196701560121	-2.78003848051898	-3.20453827185136	-2.83792176722927	-1.99613648270586	-3.26553686218111	-3.14617579758506	-3.73360448715735
P0DME0, Q01105	-3.04838733770692	-3.38452578185938	-2.76043498768851	-3.97067010573468	-3.11750913016663	-2.68150429177535	-2.86752328363021	-2.60926005437691
P10586	-4.17846507110034	-2.99974861934396	-3.57765506047514	-2.78155345003767	-3.70403040385021	-3.55527483282321	-3.20869588507027	-1.64117001707481
P10909	-2.59493919864154	-3.65954072935496	-2.73409976731535	-3.04819758967172	-2.91967058438928	-3.05101556402916	-2.86480727060407	-3.41025573070374
P11117	-4.16459531793583	-3.44229143095893	-3.05868918721208	-3.64245894735327	-4.04078567300946	-2.05329926536296	-2.59969813985372	-2.43062248189182
P11586	-4.0806502422571	-2.83422617174989	-2.67559521463064	-4.50240332478304	-2.97446379100439	-3.02022753377338	-3.425682954369	-1.96305170093271
P11678	-3.68442413159291	-5.19470127576159	-2.99918949317771	-6.6757122235893	-3.32553242898884	-1.92682116527801	-1.7436815511363	-3.34085954928484
P12110	-4.47879138673723	-2.79460577696149	-4.80378394341858	-5.73681700221264	-1.99674235505186	-2.50795030113033	-1.66348185356208	-6.11531183385918
