"","Control","Control","Control","Control","Treatment","Treatment","Treatment","Treatment"
"O00468",-0.0348608326627442,1.60424615336051,0.18146306422833,-0.00406820564646537,-0.559463862222755,-1.80216663058967,1.44902462230992,-0.834174308777122
"O00515",0.229073602990161,0.34428859590364,1.37984318984249,1.38650141113897,0.0962791454440226,-2.28624426201446,-2.04290577137089,0.893164088066067
"O00764",-0.652390178173807,0.108230491385214,0.188961925574258,-0.289640737583444,-0.57771723977857,0.22638984924612,1.04474183567753,-0.0485759463473014
"O14618",-0.279404835448508,0.180165403566626,0.0871042379181919,0.0133651863630853,-0.8603747596862,-0.722127734998814,0.604919839511604,0.976352662774016
"O14964",0.93086964019002,-0.645225882872292,0.242481243454655,0.0210024453806885,-0.266131896343516,-0.552898210141901,-0.189489967133289,0.459392627465634
"O14983, P16615, Q93084",-0.387226141787939,-0.383674331904429,0.385817583939843,-0.108878565146802,-0.46179329140511,0.252947117864724,0.259756578052118,0.443051050387595
"O43707, P12814, P35609, Q08043",-0.969586526656513,0.186809788620066,0.205146475905416,-0.775627863622165,-0.157172966450771,0.245303598300035,0.597526383753962,0.667601110149971
"O60361, P15531, P22392",-0.749232085089023,0.145116934111005,0.43475793612348,-0.586079452022549,-0.31155101054498,0.227404782990379,0.184279998471975,0.655302895959713
"O75165",-0.850957349969599,-0.135756770633022,0.673288265110389,0.0751252353141507,-0.0160375135618174,0.105143217620588,-0.0139521590732623,0.163147075192573
"O75369",-0.0117128202233769,0.465158454788994,0.0194316466368498,0.590299211388313,-0.0536112316422725,-1.39721226857217,0.378896272560726,0.00875073506293722
"O75828",-0.22585543961857,0.228714442878677,0.105861889212078,-0.322406508851045,-0.153755405459968,-0.306987253552307,-0.0762692083787786,0.750697483769915
"O75828, P16152",-0.191645355265431,-0.00667255306445691,0.135883450328342,-0.02113679839493,-0.775071513584097,0.802953768127027,-0.187653667312206,0.243342669165751
"O76071",-0.652965438626044,0.383256551047328,0.8984774626977,-0.770788932524454,0.489880455279459,-0.42614405167275,0.00852841602744192,0.0697555377713179
"O94992",0.773916298922422,-0.37719315918521,-0.00910650981145356,-0.200587285628564,0.180427238893892,-0.802242060200097,-0.418076947019975,0.852862424028987
"O95399, P11021",-0.553748273765676,-0.546648521135232,0.372675039809367,-0.086434045357461,-0.104583787295153,0.444758171475209,0.156157507730293,0.317823908538652
"O95573",-1.14936579328287,-0.540073572115497,0.818219124743659,-0.319442918185197,0.104818998295667,0.44965289133782,-0.621473290534487,1.25766455974091
"O95861",-0.454462178484304,-0.135807943787853,0.938491080408268,0.489967209942163,-0.628781527191242,-0.118598314340868,-0.209691751976239,0.118883425430075
"P00167",1.88404024283087,0.654567102656749,-0.725870489192697,-1.45714512539319,0.262473587660916,-0.4616993291,-1.05063276658643,0.894266777123779
