"","Sample 1
Control
./","Sample 2
Tetr
./","Sample 3
Control
./","Sample 4
Tetr
./","Sample 5
Control
./","Sample 6
Tetr
./","Sample 7
Control
./","Sample 8
Tetr
./"
"O00468",-0.170989837104604,1.5796996140974,0.193124870946409,0.00101748959721859,-0.560782633887605,-1.50483261933736,1.60923448077057,-1.14647136508203
"O00515",0.229073602990161,0.344288595903641,1.37984318984249,1.38650141113897,0.0962791454440228,-2.28624426201446,-2.04290577137089,0.893164088066068
"O00764",-0.633850334911797,0.0951115896453039,0.195336630366837,-0.268488619913188,-0.578684719258376,0.207190474557448,1.03168151741373,-0.0482965378999552
"O14618",-0.279404835448508,0.180165403566626,0.0871042379181919,0.0133651863630851,-0.8603747596862,-0.722127734998814,0.604919839511604,0.976352662774016
"O14964",0.93086964019002,-0.645225882872292,0.242481243454655,0.0210024453806883,-0.266131896343516,-0.552898210141901,-0.189489967133289,0.459392627465635
"O14983, P16615, Q93084",-0.387226141787939,-0.383674331904429,0.385817583939843,-0.108878565146802,-0.461793291405111,0.252947117864724,0.259756578052118,0.443051050387594
"O43707, P12814, P35609, Q08043",-0.954697681262051,0.208474836653922,0.22799239705927,-0.837681983440868,-0.199625237148004,0.259922134750092,0.612572339701908,0.683043193685732
"O60361, P15531, P22392",-0.761644617768696,0.13839671845108,0.445844732940633,-0.562556151927514,-0.313392235730514,0.216144959920907,0.190691541164228,0.646515052949877
"O75165",-0.850957349969599,-0.135756770633022,0.673288265110389,0.0751252353141507,-0.0160375135618174,0.105143217620589,-0.0139521590732623,0.163147075192573
"O75369",-0.0611125501400436,0.552892406263059,0.201120489466195,0.801497301646515,-0.132379185498857,-1.66395379946165,0.16148453253065,0.140450805194137
"O75828",-0.22585543961857,0.228714442878677,0.105861889212078,-0.322406508851045,-0.153755405459968,-0.306987253552307,-0.0762692083787785,0.750697483769914
"O75828, P16152",-0.265240056446874,-0.00847066925832918,0.273414091886588,0.0353154869996795,-0.901511546421022,0.77844043799442,-0.10333483625189,0.191387091497427
"O76071",-0.652965438626044,0.383256551047328,0.8984774626977,-0.770788932524454,0.48988045527946,-0.42614405167275,0.00852841602744192,0.069755537771318
"O94992",0.773916298922422,-0.37719315918521,-0.00910650981145356,-0.200587285628564,0.180427238893892,-0.802242060200098,-0.418076947019975,0.852862424028987
"O95399, P11021",-0.606092804731637,-0.60641388155339,0.373305493620934,-0.124242540349475,0.0144006118444029,0.471008656557931,0.197982374980463,0.280052089630771
"O95573",-1.14936579328287,-0.540073572115497,0.818219124743659,-0.319442918185197,0.104818998295667,0.44965289133782,-0.621473290534487,1.25766455974091
"O95861",-0.454462178484304,-0.135807943787853,0.938491080408268,0.489967209942163,-0.628781527191242,-0.118598314340868,-0.209691751976239,0.118883425430075
"P00167",1.88404024283087,0.654567102656749,-0.725870489192697,-1.45714512539319,0.262473587660916,-0.4616993291,-1.05063276658643,0.894266777123779
"P00505",-0.259198399750224,-0.206333723865037,1.75206264085529,0.205616219591309,-0.333467634741194,-1.84233900170918,-0.423798609697365,1.1074585093164
"P01009",0.369040617494559,-0.0989317271098677,0.324618134766254,-0.614513890183627,0.120456467381739,-0.882524302492948,0.289536951790446,0.492317748353445
"P01591",-0.48579078751844,-0.1792338688599,-0.544838678752952,1.04990677225881,-0.128268867287077,0.944840773511876,-0.889581074087229,0.232965730734916
"P02042, P68871",1.47643432633565,-0.125120219662151,-1.46767426520414,2.86407483147911,-0.153940414331389,-0.606272888875283,-0.716174988015562,-1.27132638172624
"P02533, P08779",-1.56374172901189,-0.160894105343605,-0.415398535499588,1.11125018788402,-0.449371021957708,0.993765261514308,-0.5187166379386,1.00310658035307
"P02545",-0.154367724107177,0.391476768247898,0.493102728212275,-0.807292250073552,-0.0492010353193387,-1.17754648915138,0.462140908889024,0.84168709330225
"P02768",0.482470289303902,0.527798554904934,-0.0972544322582367,-0.240408857653559,-0.403879651566629,-0.587973806730219,0.521123183891931,-0.201875279892124
"P04040",0.409155829644755,0.151547877229203,-0.0887577999124373,0.722952535820866,-0.846087680394528,-0.353124876642735,0.226423036548916,-0.222108922294039
"P04196",-0.654995549596916,0.619365213526985,0.872187686883654,-0.696430672632246,-0.908340636659217,-0.462184568322866,0.808299219711182,0.422099307089424
"P04908, P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1",-0.327546070180417,-0.00880982405979225,-0.0365933028583356,-0.60887319953515,0.428281758004322,0.151584143438902,-0.170475851177183,0.572432346367655
"P05141, P12235, P12236",-1.05567350492827,-0.0537467938854364,0.266137158171962,-0.681747942221763,-0.102734261894897,1.11880663793747,0.234890025094927,0.274068681726
"P05141, P12235, P12236, Q9H0C2",-0.873476077207547,0.287563030490849,0.385271288406958,-0.396993308905707,-0.0985780552196476,0.381354470600824,0.277110832480867,0.037747819353404
"P05164",0.650442448573289,-0.989003105197683,-1.10332409932109,0.27431195385964,0.100731796568431,2.89420271667823,-0.600061318724554,-1.22730039243627
"P05165",0.427061349237872,0.528348108670657,0.65249696477163,0.00787118620540384,-0.219405360916539,-0.85360454859818,-0.176696129043189,-0.366071570327654
"P05413",0.666466112005649,-1.0551055169142,-0.0245885011057665,0.373285018445601,-1.01351868360982,-0.894350217300357,2.56217401343702,-0.614362224958124
"P05455",-0.84133274874102,-0.107032589315062,0.336186200935549,-0.338198477754593,0.0749170667625028,0.125599360326123,0.146736146725335,0.603125041061166
"P06454",0.677735393605212,-0.0937438606946669,-0.449431188138523,0.0838817010291491,0.566691167863213,-1.10749879418352,-0.302444991067856,0.624810571586995
"P06733",-0.687669727135804,-0.632894681266371,1.45778726170772,-0.987354701095261,-0.112871892309291,-0.487940299332305,0.804086046197237,0.64685799323407
"P06744",-0.25393574676384,-0.40966557180318,1.31731112822044,-0.257710830377645,-0.388915468134301,-0.513530200377651,-0.114541293943843,0.620987983180014
"P07305",-1.53598713536811,0.143593540273159,0.404518719727573,-0.882285815857546,-0.699903726981594,-0.0286498171243088,-0.213830125047378,2.81254436037821
"P07384",-0.200653019675873,0.158536505983453,0.825225332849284,0.277637681784785,-0.181919256873988,-1.24648752929561,-0.953695610359431,1.32135589558738
"P07947",-1.04076782213225,0.163949551000937,0.838046112019918,-1.3534918523871,0.0108542413801261,0.806798823161097,1.08536186588187,-0.510750918924596
"P08559",0.583576824023926,0.21907568675359,-0.0110946423184746,-0.845357943278722,0.558204416179804,-0.362653991528853,0.179857329715793,-0.321607679547065
"P08729",-0.226570904118617,-0.609537291292348,0.815613341268053,0.0428077614189653,-0.0013117676130957,-0.0568622712561888,0.119098651306998,-0.0832375197137672
"P08865",-0.146644264718899,0.449096527940431,0.826040223257502,0.32712172902219,0.422203047794302,-3.48087262505519,0.43814278429137,1.1649125774683
"P09622",-0.875795305824692,0.483517055852924,0.488144647585472,-0.396922339760347,-0.382601539242439,0.0449685224694534,-0.138544037457732,0.77723299637736
"P09661",-0.333196409451011,-0.407720884937365,0.097072984581777,-0.155425268751704,0.328797719298333,-0.0143705302890262,-0.174351534813295,0.659193924362292
"P09936",-0.382950035790798,-0.25951498541427,-0.572727883054314,-0.965579126572561,-0.113310621318744,0.330448253292574,1.84053865045172,0.123095748406393
"P0C0L4, P0C0L5",-0.863727119997437,0.3382014150848,-0.0862983762475851,0.280318128374507,1.12210341289791,-0.147296966577332,-0.027935901981287,-0.615364591553577
"P0DME0, Q01105",0.0065895339104054,-0.329548910242057,0.294541883928809,-0.915693234117356,-0.0625322585493024,0.373472579841971,0.187453587987118,0.445716817240413
"P10586",-0.972640903628391,0.206075548127991,-0.371830893003189,0.424270717434277,-0.498206236378258,-0.349450665351254,-0.00287171759831972,1.56465415039714
"P10909",0.447017037388799,-0.61866852082995,0.303539186606835,-0.0379202794680852,0.114620982441252,-0.00334567355449567,0.16356811462652,-0.368810847210875
"P11117",-0.985540262488571,-0.263236375511675,0.120365868235175,-0.463403891906009,-0.861730617562203,1.1257557900843,0.579356915593544,0.748432573555436
"P11586",-0.896112625569584,0.350311444937627,0.508942402056881,-1.31786570809552,0.210073825683128,0.164310082914143,-0.241145337681483,1.22148591575481
"P11678",-0.0730589042417196,-1.5833360484104,0.612175734173476,-3.06434699623811,0.285832798362349,1.68454406207318,1.86768367621489,0.270505678066342
"P12110",-0.58181096748089,1.09969739610383,-1.11837023295929,-2.33690614834074,1.86656482294139,1.33370414495101,2.21860038654967,-2.48147940176498
"P12111",-0.525704601122686,0.913390151929518,-0.922067783755517,-2.30265635619165,1.76363070648953,1.3720945654887,1.87677961563136,-2.17546629846926
"P12814",-0.750951002878973,0.297439243919821,0.0642259227218632,-1.47847569208022,-0.227773481466538,0.952240154652022,1.44006435625668,-0.296769501124658
"P13010",-1.04195491398775,0.101231611585407,0.854838010977524,-0.879565677836961,-0.00489709602118038,-0.462306399666418,0.370684196434266,1.06197026851511
"P13639",-1.17290889077296,-0.0279440602919339,0.915603137927739,-0.203165944983584,0.083610467466122,-1.04926191631817,0.587504075708421,0.866563131264366
"P13646",-2.49096679970407,0.929285719434163,-0.79983291316846,1.7178191581803,1.88481867502118,-0.253096833425416,-1.53956240064937,0.551535394311663
"P13647",-0.295368348029473,-0.945569373311718,-0.311490099836673,-0.701383492622662,2.75869776742776,-0.681633381749964,-1.66067569769911,1.83742262582184
"P14618",0.0373361468481828,-0.157989136544562,1.1070815375914,0.722457149933925,-0.146659750862971,-2.68873805772013,0.221075794402495,0.905436316351667
"P15531, P22392",-0.706153899522404,-0.240902131572554,0.309328135644809,-0.0113855175493787,0.31720531465705,-0.0751911017268463,0.241696105849916,0.165403094219408
"P15924",-2.03113054715132,-0.57200965530488,-0.0130846576166389,-1.30139661516631,1.42666125920619,0.464580155861889,-0.283640869891204,2.31002093006228
