"Proteins","log(fold-change) Treatment.1-Control","p-values Treatment.1-Control","q-values Treatment.1-Control"
"O00468","-0.873390089639813","0.179794038959369","0.592199656586509"
"O00515","-1.66985339993763","0.0211948652807879","0.345629225195028"
"O00764","0.32241924939889","0.488979652470708","0.696483142362621"
"O14618","-0.000614996199697487","0.999003654315572","0.882094658117669"
"O14964","-0.274563723076536","0.55445868417226","0.7388495071526"
"O14983, P16615, Q93084","0.246980727449663","0.565042736692744","0.745006342648381"
"O43707, P12814, P35609, Q08043","0.676629062876599","0.149687326722163","0.575372670019949"
"O60361, P15531, P22392","0.377718333438543","0.404841454298597","0.688228897810429"
"O75165","0.119150310089041","0.786650843683187","0.859804177571338"
"O75369","-0.53158824629539","0.269603752116127","0.657210567263038"
"O75828","0.10684280818943","0.802688191584315","0.859804177571338"
"O75828, P16152","0.0417856281982374","0.925439532287029","0.868285708529226"
"O76071","0.0710101787027346","0.882926157832653","0.860306333713314"
"O94992","-0.0935146721485968","0.845741509281116","0.859804177571338"
"O95399, P11021","0.407077900224501","0.342109706636478","0.688228897810429"
"O95573","0.595331579419954","0.270870614015888","0.657210567263038"
"O95861","-0.419094084039137","0.357379912910241","0.688228897810429"
"P00167","-0.177795865450866","0.789554615304269","0.859804177571338"
"P00505","-0.74607336841567","0.240207335275092","0.657210567263038"
"P01009","0.00989343251634078","0.982820448383428","0.875730464045429"
"P01591","0.0799782814362428","0.876823616113026","0.859804177571338"
"P02042, P68871","-1.32644490092787","0.0801347159301944","0.575372670019949"
"P02533, P08779","0.514392090985533","0.387445060514876","0.688228897810429"
"P02545","0.0385402388602776","0.940334471328851","0.868285708529226"
"P02768","-0.31011523699479","0.473267002661843","0.69437643426751"
"P04040","-0.589450635162735","0.182087030204023","0.592199656586509"
"P04196","-0.0839444236575495","0.871654616868163","0.859804177571338"
"P04908, P0C0S5, P0C0S8, P16104, P20671, Q16777, Q6FI13, Q71UI9, Q7L7L0, Q8IUE6, Q93077, Q96KK5, Q96QV6, Q99878, Q9BTM1","0.460347089511835","0.275870902658098","0.657210567263038"
"P05141, P12235, P12236","0.771557820351538","0.111840230827719","0.575372670019949"
"P05141, P12235, P12236, Q9H0C2","0.298817533607723","0.49979947375048","0.706735809329423"
"P05164","0.58378640104292","0.439444393051935","0.688228897810429"
"P05165","-0.807888804442781","0.0646960390041336","0.573846054491238"
"P05413","0.0199714437843578","0.977456692816199","0.874946342258415"
"P05455","0.475188807437563","0.276170954750743","0.657210567263038"
"P06454","-0.0853986707718122","0.860854770668284","0.859804177571338"
"P06733","0.409665010862599","0.449606010946656","0.688228897810429"
"P06744","-0.180728930295975","0.71634131863202","0.856364169726438"
"P07305","0.935080345612463","0.191698967005639","0.613239790334673"
"P07384","-0.474344344958405","0.386838161406064","0.688228897810429"
"P07947","0.69613200574925","0.223171435137259","0.634865782393025"
"P08559","0.0269000374098403","0.953065512537196","0.870544047708223"
"P08729","-0.0214387378162237","0.960750141402747","0.870544047708223"
"P08865","-0.78859168903555","0.34927697753642","0.688228897810429"
"P09622","0.130701823047791","0.777076431179157","0.859804177571338"
"P09661","0.399634789279152","0.342349547711044","0.688228897810429"
"P09936","1.09038601541597","0.0383695497914918","0.415962890280921"
"P0C0L4, P0C0L5","0.165752976392857","0.73434629396669","0.859269041322297"
"P0DME0, Q01105","0.472055363260099","0.281877534977385","0.662708836416559"
"P10586","0.357062765534656","0.503948158421689","0.707475575496585"
"P10909","-0.0522429661856716","0.902412231221498","0.863207479008718"
"P11117","0.79590733083554","0.125435987486488","0.575372670019949"
"P11586","0.677362243335301","0.206893748989342","0.634865782393025"
"P11678","2.05428310735838","0.00925497651950722","0.257998790567062"
"P12110","1.38262794143162","0.118609848542324","0.575372670019949"
"P12111","1.41851929457017","0.104378230469574","0.575372670019949"
